Album	Year	Song	Main composer	L	M	H	S	NumAuth	OtherAuth	Singer
Help!	1965	Dizzy Miss Lizzy	Williams	0	0	0	0	0	1	Lennon
Help!	1965	Act Naturally	Morrison/Russel	0	0	0	0	0	1	Starr
Rubber Soul	1965	Wait	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Rubber Soul	1965	Run for Your Life	Lennon	1	0	0	0	1	0	Lennon
Rubber Soul	1965	Norwegian Wood (This Bird Has Flown)	Lennon	1	0	0	0	1	0	Lennon
Rubber Soul	1965	Drive My Car	McCartney	0	1	0	0	1	0	Lennon/McCartney
Rubber Soul	1965	In My Life	Lennon/McCartney	1	1	0	0	2	0	Lennon
Rubber Soul	1965	Nowhere Man	Lennon	1	0	0	0	1	0	Lennon
Rubber Soul	1965	I´m Looking Through You	McCartney	0	1	0	0	1	0	McCartney
Rubber Soul	1965	Michelle	McCartney	0	1	0	0	1	0	McCartney
Rubber Soul	1965	What Goes On	Lennon/McCartney	1	1	0	0	2	0	Starr
Rubber Soul	1965	Think for Yourself	Harrison	0	0	1	0	1	0	Harrison
Rubber Soul	1965	The Word	Lennon/McCartney	1	1	0	0	2	0	Lennon/McCartney
Rubber Soul	1965	You Won´t See Me	McCartney	0	1	0	0	1	0	McCartney
Rubber Soul	1965	Girl	Lennon	1	0	0	0	1	0	Lennon
Revolver	1966	Tomorrow Never Knows	Lennon	1	0	0	0	1	0	Lennon
Revolver	1966	Got to Get You Into My Life	McCartney	0	1	0	0	1	0	McCartney
Revolver	1966	Love You to	Harrison	0	0	1	0	1	0	Harrison
Revolver	1966	Doctor Robert	Lennon	1	0	0	0	1	0	Lennon
Revolver	1966	And Your Bird Can Sing	Lennon	1	0	0	0	1	0	Lennon
Revolver	1966	Taxman	Harrison	0	0	1	0	1	0	Harrison
Revolver	1966	I´m Only Sleeping	Lennon	1	0	0	0	1	0	Lennon
Revolver	1966	Eleanor Rigby	McCartney	0	1	0	0	1	0	McCartney
