 3 Legs,"Well when I walk, when I walk   On my horse upon the hill when I walk the horse upon a hill   Well when I walk, walk walk walk   On my horse upon the hill when I walk the horse upon a hill   And I lay me down   Will my lover love me still   A dog is here, a dog is here, a dog is there a dog is there   My dog he got three leg   But he can't run   Well when I thought, well I thought   When I thought you was my friend when I thought I could call you my friend   When I thought, when I thought   When I thought you was my friend when I thought I could call you my friend   But you laid me down, put my heart around the bend   A fly flies in a fly flies in, a fly flies out a fly flies out   Most flies they got three leg, but mine got one.   Well when I fly when I fly when I fly, when I fly above the cloud   When I fly above the man in the crowd   Well when I fly when I fly when I fly, when I fly above the crowd   When I fly above the man in the crowd   You can knock me down with a feather, yes you could   But you know it's not allowed but you know it's not allowed   A dog is here, a dog is here, a dog is there a dog is there   My dog he got three leg   But he can't run   My dog he got three leg   Your dog he got none   My dog he got three leg   Your dog he got none   My dog he got three leg   Your dog he got none"
 Ram On,"Ram on, give your heart to somebody,   Soon, right away, right away.   Ram on, give your heart to somebody,   Soon, right away, right away."
 Dear Boy,"I guess you never knew, dear boy, what you have found,   I guess you never knew, dear boy,   That she was just the cutest thing around,   I guess you never knew what you have found,   Dear boy.   I guess you never saw, dear boy,   That love was there.   And maybe when you look to hard, dear boy,   You never do become aware,   I guess you never did become aware,   Dear boy.   When I stepped in, my heart was down and out,   But her love came through and brought me 'round,   Got me up and about.   Dear boy,   Dear boy, dear boy,   Dear boy.   When I stepped in, my heart was down and out,   But her love came through and brought me 'round,   Got me up and about.   I hope you never know, dear boy,   How much you missed.   And even when you fall in love, dear boy,   It won't be half as good as this.   I hope you never know how much you missed,   Dear boy, how much you missed,   Dear... boy."
 Uncle Albert/Admiral Halsey,"We're so sorry, Uncle Albert   We're so sorry if we caused you any pain   We're so sorry, Uncle Albert   But there's no one left at home, and I believe I'm gonna rain   We're so sorry, but we haven't heard a thing all day   We're so sorry, Uncle Albert   But if anything should happen, we'll be sure to give a ring   human voice imitates telephone ringing   distorted voice, as if heard over a telephone   We're so sorry, Uncle Albert   But we haven't done a bloody thing all day   We're so sorry, Uncle Albert   But the kettle's on the boil, and we're so easily called away   Yeah, yeah, yeah, yeah   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky   Admiral Halsey notified me   He had to have a berth or he couldn't get to sea   I had another look and I had a cup of tea   And butter pie   A butter pie?   The butter wouldn't melt, so I put it in a pie   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky   Live a little, be a gypsy   Get around Get around   Get your feet up off the ground   Live a little, get around   Live a little, be a gypsy   Get around Get around   Get your feet up off the ground   Live a little, get around   Hands across the water, water   Heads across the sky   Hands across the water, water   Heads across the sky"
 Smile Away,"I was walking down the street the other day,   Who did I meet?   I met a friend of mine and he did say:   ""Man, I can smell your feet a mile away.""   Smile away, smile away, smile away, yeah, smile away,   Smile away, smile away, smile away, yeah, smile away.   Yeah, smile away, smile away, smile away, yeah, smile away,   Smile away, smile away, smile away, yeah, smile away.   I was walking down the street the other day,   Ah, who did I meet?   I met a friend of mine and he just said:   ""Man, I can smell your breath a mile away.""   Smile away, smile away, smile away, yeah, smile away, oh,   Ho! smile away, smile away, smile away, yeah, smile away.   Ah, smile away sweetly now,   Come on now, ooh, sweetly smile away,   Yes, Sir! smile away,   Now, smile away quietly now,   Ooh, ho, ho, ho.   Smile away horribly now,   Smile away, smile away, smile away,   Yes, Sir! smile away,   Ah-oh,   Ooh.   Ah, who did I meet?   I met a friend of mine and he did say:   ""Man, I can smell your teeth a mile away.""   Smile away, uh, smile away, uh,   Smile away, uh, smile away, uh,   Smile away, uh, smile away, uh,   Smile away, uh, smile away"
 Heart Of The Country,"I look high, I look low   I'm looking everywhere I go.   Looking for a home in the heart of the country.   A-gong go, a-gong gong   I'm gonna tell everyone I know   I'm looking for a home in the heart of the country.   Heart of the country, where the holy people grow   Heart of the country, smell the grass in the meadow.   Wowowoo!   I want a horse, I want a sheep   I wanna give me a good night sleep   Living in a home in the heart of the country.   A-gong go, a-gong gong   I'm gonna tell everyone I know   I'm living in a home in the heart of the country.   Heart of the country, where the holy people grow   Heart of the country, smell the grass in the meadow.   Wowowoo!   I want a horse, I got a sheep   I'm gonna give me a good night sleep.   Living in a home in the heart of the country.   A-gong go, a-gong gong   I'm gonna tell everyone I know   In the heart of the country.   Heart of the country, where the holy people grow   Heart of the country, smell the grass in the meadow.   Wowowoo!"
 Monkberry Moon Delight,"So I sat in the attic a piano up my nose   And the wind played a dreadful cantata   Sore was I from the crack of a enemy's hosed   And the horrible sound of tomato   Catch up!   Soup and puree!   Don't get left behind   Catch up   Soup and puree!   Don't get left behind   When a rattle of rats had awoken   The sinews, the nerves and the veins   My piano was boldly outspoken   In attempts to repeat his refrain   So I stood with a knot in my stomach   And I gazed at that terrible sight   Of two youngsters concealed in a barrel   Sucking Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Ooh, oh-oh, oh-oh   Well, I know my banana is older than the rest   And my hair is a tangled beretta   But I leave my pajamas to Billy Budapest   And I don't get the gist of your letter   Catch up!   Cats and kittens   Don't get left behind   Catch up!   Cats and kittens   Don't get left behind   Oh Monkberry moon delight! yeah   Monkberry moon delight!   Monkberry moon delight!   Oh, oh, oh, oh, oh, oh   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Sucking Monkberry moon delight   Monkberry moon delight   Monkberry moon delight   Ah, Monkberry moon delight, yeah, yeah,   Monkberry moon delight   Monkberry moon delight   ""Try some of this, honey!""   ""What is it?""   Monkberry moon delight!   Monkberry moon delight   Monkberry moon delight   Monkberry moon delight!   Monkberry moon delight   Monkberry moon delight"
 Eat At Home,"Come on, little lady,   Lady, let's eat at home.   Come on, little lady,   Lady, let's eat at home.   Eat at home, eat at home.   Come on, little lady,   Lady, let's eat in bed.   Come on, little lady,   Lad, let's eat in bed,   Eat in bed, eat in bed.   Bring the love that you feel for me   Into line of the love I see.   And in the morning you bring to me   Love   Come on, little lady,   Lady, now don't do that.   Come on, little lady,   Lady, now don't do that, don't do that   Don't do that, don't do that.   Uh-uh-uh-uh,   Uh-uh-uh-uh,   Uh-uh-uh   Love   Come on, little lady,   Lady, let's eat at home, mm-ho!   Come on, little lady,   Lady, let's eat at home.   Eat at home, eat at home.   Oh-oh!   Oh,   Oh.   Bring the love that you feel for me   Into line of the love I see.   And in the morning you bring to me   Love -.   Oh, come on, little lady, come on   Lady, now don't do that.   Oh, come on, come on, come on   Come on, little lady, yeah, yeah   Lady, now don't do that, uh,   Don't do that,   Don't do that,   Don't do that,   Don't do that,   Oh no!"
 Long Haired Lady,"Well, well, well, well, well...   Do you love me like you know you ought to do?   Well, well, well, well, well...   Or is this the only thing you want me for?   Well, I've been meaning to talk to you about it for sometime   Sweet little lass, you are... my long haired lady   Who's the lady that makes that brief occasional laughter   She's the lady we wears those flashing eyes   Who'll be taking her ome when all the dancing is over   I'm the lucky man she will hypnotize   Long haired lady. Long haired lady   Bells are buzzing about my sweet delectable baby   Birds are humming about their big surprise   Who's your favorite person, dear phenomenal lady   I belong to the girl with flashing eye   Long haired lady. Long haired lady   Ah, love is long, love is long, love is long   Ah, when you're wrong, love is long, love is long   Well, well, well, well, well...   Do you love me like you know you ought to do?   Well, well, well, well, well...   Or is this the only thing you want me for?   Well, I've been meaning to talk to you about it for sometime   Sweet little lass, you are... my long haired lady   Ah, sing your song, love is long, love is long   Ah, love is long, love is long, love is long..."
 Ram On Reprise,"Ram on, give your heart to somebody,   Soon, right away, right away.   Who's that coming 'round that corner?   Who's that coming 'round my bed...?"
